t,value,concept
1,0.21315288065935853,1
2,0.47561393004120933,1
3,-0.1867154239381788,1
4,-0.07824960876239878,1
5,0.9288783972319807,1
6,1.876550036515493,1
7,0.9842518396700319,1
8,0.8010084250086847,1
9,0.15740333718495814,1
10,0.14400780692364412,1
11,-1.337913780460581,1
12,-1.8323574456126221,1
13,-1.2599118859320688,1
14,-0.23641455149658064,1
15,-1.1350333609010481,1
16,-1.098562430954215,1
17,-0.9909697716098154,1
18,-2.1027856913501495,1
19,-2.3461515955870316,1
20,-2.8139116060338516,1
21,-2.7019310490619306,1
22,-1.9073653975158582,1
23,-2.4561134772301347,1
24,-1.4372739112573816,1
25,-0.3150779871157375,1
26,-1.1232539238043375,1
27,-2.1384628826733603,1
28,-2.4093273858984885,1
29,-2.8491438338289163,1
30,-4.6552727174618465,1
31,-3.9734864939062158,1
32,-2.6591898394437847,1
33,-3.1981871837873084,1
34,-3.6811084215873473,1
35,-2.0214451267885805,1
36,-2.5068640725095235,1
37,-4.351455452820173,1
38,-3.145459079061677,1
39,-2.6188504882984867,1
40,-3.75120040114295,1
41,-3.5542418069080126,1
42,-2.0985533911830005,1
43,-3.278771022202734,1
44,-3.5282407464549497,1
45,-2.661320421591382,1
46,-2.2175976264213793,1
47,-3.911297029541565,1
48,-3.815382352599455,1
49,-2.7854042970321564,1
50,-3.4698380295086553,1
51,-2.8480262527284927,1
52,-0.8987975098756911,1
53,-0.4945498658217069,1
54,-1.1108525833276774,1
55,-0.17465259384387588,1
56,0.05186317369445198,1
57,-1.763581004326131,1
58,-2.436368528183652,1
59,-1.2136734343134297,1
60,-1.8134711219215833,1
61,-2.275555926134137,1
62,-0.9351292919611471,1
63,-0.5903507231958235,1
64,-2.4883984318366776,1
65,-2.125359430239103,1
66,-0.32836909691476657,1
67,-2.680337572395281,1
68,-2.9452046373154754,1
69,-0.04648985328747701,1
70,-0.926187394530599,1
71,-3.654679746488661,1
72,-1.188300945007072,1
73,-0.8460739541592084,1
74,-2.684842502705356,1
75,-1.1760131789882649,1
76,0.8266161366114482,1
77,-0.8697751122517843,1
78,0.023775703132213,1
79,1.5651540473638597,1
80,0.2544807868513904,1
81,-1.3576017911907106,1
82,0.038965758224318345,1
83,-1.457392590328093,1
84,-3.4286089712096888,1
85,-1.9188054172891449,1
86,-2.3008385718621134,1
87,-4.073779411164952,1
88,-3.870078065444554,1
89,-2.986062237554282,1
90,-2.965105252307152,1
91,-3.2156812044712693,1
92,-3.000395206330288,1
93,-4.214542123589047,1
94,-3.2421598278960917,1
95,-1.2173593264362137,1
96,-2.494906279813899,1
97,-2.5812628440026932,1
98,-2.0836384017051905,1
99,-4.128550276997784,1
100,-5.124010029323497,1
101,-4.183763221688357,1
102,-4.267459905663022,1
103,-5.312590169400249,1
104,-4.346233219423475,1
105,-1.8662221178977805,1
106,-3.742498554852373,1
107,-5.744646985521316,1
108,-4.410783440526538,1
109,-3.4508719928855767,1
110,-4.571635857448329,1
111,-2.8755438731276106,1
112,-2.315716129191811,1
113,-4.471806113628507,1
114,-3.9105095321622936,1
115,-3.7343185472879545,1
116,-5.355254396890676,1
117,-4.017685221567976,1
118,-2.6471429551052355,1
119,-2.6413401816730335,1
120,-2.6601091473595964,1
121,-2.6856074994146475,1
122,-4.636963306613465,1
123,-4.8481135475145996,1
124,-3.9985269245515216,1
125,-5.454824324275681,1
126,-5.3526326803368125,1
127,-3.7007721756915024,1
128,-4.3101970594246914,1
129,-5.049917495929596,1
130,-4.487798451312351,1
131,-5.30569338413993,1
132,-6.509833402881277,1
133,-6.247390063042174,1
134,-7.075874256658347,1
135,-7.564890621041612,1
136,-6.246767076768951,1
137,-5.923012230557559,1
138,-6.8314522396037995,1
139,-5.274164573533003,1
140,-5.113957108088195,1
141,-7.5453006963419496,1
142,-8.36781410107117,1
143,-6.785335429530644,1
144,-6.0776099471194875,1
145,-6.450870487188192,1
146,-4.933545525748566,1
147,-4.0845148158788644,1
148,-6.0666171243869025,1
149,-7.280120751280592,1
150,-5.498944060248643,1
151,-6.164039744043809,1
152,-6.729223904355624,1
153,-4.05452692675889,1
154,-4.675261565173652,1
155,-7.307013511943202,1
156,-6.426117904002028,1
157,-5.317385809464501,1
158,-6.718194822412593,1
159,-6.178742386759818,1
160,-4.679606424335854,1
161,-5.787019727894195,1
162,-5.950000746866489,1
163,-4.000083611627263,1
164,-4.154776186885186,1
165,-5.549755323102764,1
166,-5.419657466948372,1
167,-5.128751127643558,1
168,-6.189382600725289,1
169,-5.65997842382873,1
170,-4.803791498358288,1
171,-3.9279098400259085,1
172,-3.0406302137156604,1
173,-2.3541689504230847,1
174,-2.991066598937709,1
175,-2.6411308011765815,1
176,-2.3951811345460072,1
177,-4.725712645717371,1
178,-5.426214564630928,1
179,-2.9908909338919707,1
180,-3.4203590496856444,1
181,-4.1633763381117985,1
182,-2.4449289078756036,1
183,-2.265548101010081,1
184,-4.522450013986346,1
185,-3.9969530154257296,1
186,-2.8250803651608654,1
187,-4.513081764903575,1
188,-4.570577349843769,1
189,-3.1098208278073103,1
190,-4.1041024941494895,1
191,-3.9037528856796992,1
192,-3.4455825012192642,1
193,-4.794196382585088,1
194,-6.556945099862931,1
195,-6.726753429165826,1
196,-6.694942153807331,1
197,-6.922797695849793,1
198,-7.039302945796216,1
199,-6.2824173693488925,1
200,-6.210924684804548,1
201,-6.51696984984268,1
202,-5.36425535110006,1
203,-4.332356538530455,1
204,-5.4947572861511,1
205,-5.7002691503473395,1
206,-5.184095870247433,1
207,-5.879741744049863,1
208,-7.151020176999421,1
209,-6.432195366337948,1
210,-6.040560800510085,1
211,-8.781273687151433,1
212,-7.301292072289159,1
213,-5.831577408127963,1
214,-7.416639864791542,1
215,-6.675082728256516,1
216,-5.70480004585268,1
217,-6.134867281464331,1
218,-7.070723445970959,1
219,-6.906985020557266,1
220,-6.532445551486939,1
221,-7.752798331975586,1
222,-7.30445616563062,1
223,-5.592687372975762,1
224,-6.927495122542087,1
225,-7.462839813291323,1
226,-5.390373634037658,1
227,-5.3006424416743965,1
228,-6.700647684858755,1
229,-4.617812033307098,1
230,-4.281738645360465,1
231,-6.74071188819725,1
232,-6.128916002357007,1
233,-3.842602679591417,1
234,-4.708036676919818,1
235,-4.792763228051646,1
236,-2.550688701534972,1
237,-3.3223666121048394,1
238,-7.110635568756253,1
239,-6.318447129766511,1
240,-4.978713259690131,1
241,-6.490673945668313,1
242,-6.329830714868939,1
243,-3.0447546469495785,1
244,-2.8470250002566515,1
245,-4.147476869831204,1
246,-3.0946311332487095,1
247,-2.8368328163275773,1
248,-4.548568429786049,1
249,-3.256708070345301,1
250,-2.35486891367512,1
251,-3.175723114857697,1
252,-2.0550067994355468,1
253,-1.6967975558025583,1
254,-3.429205428538416,1
255,-3.377922085514093,1
256,-2.5759317196619484,1
257,-3.417570425836361,1
258,-3.156957641635226,1
259,-2.663938241535199,1
260,-2.819629319071799,1
261,-3.37817040728084,1
262,-1.9835286843283046,1
263,-1.607874182575035,1
264,-2.118437575806777,1
265,-1.2446257689776763,1
266,-1.1143290208463164,1
267,-3.5260900312082946,1
268,-3.8950104857985295,1
269,-1.8216259535677026,1
270,-3.7594432107371194,1
271,-5.095733984167445,1
272,-3.1958930782239183,1
273,-4.0330335605012655,1
274,-6.590502019374541,1
275,-5.517623211061782,1
276,-3.97987436261418,1
277,-5.786734950323141,1
278,-3.8384919267044477,1
279,-1.0090649357040704,1
280,-2.6748885449750284,1
281,-3.401538916350244,1
282,-0.9818717115585367,1
283,-1.687637844446118,1
284,-3.6623084010476523,1
285,-2.557687722028918,1
286,-1.6679002252330193,1
287,-3.575728700362345,1
288,-3.4593083051948006,1
289,-1.6248040404370903,1
290,-3.4322935341589567,1
291,-4.488038598543198,1
292,-3.05317952302634,1
293,-1.7566796806461775,1
294,-2.1949724804313653,1
295,-2.466646859759112,1
296,-1.8244912502251076,1
297,-2.3536995182197717,1
298,-3.0658839914758627,1
299,-2.5564097821515945,1
300,-1.2395213263340528,1
301,-2.091555540842877,1
302,-1.8177079202218478,1
303,-0.6452675409124241,1
304,-1.5857644353707803,1
305,-2.049527460246854,1
306,-2.413997826625999,1
307,-3.650094272807929,1
308,-4.885579646588073,1
309,-4.8166994462545585,1
310,-3.7826158611244702,1
311,-2.828458118375157,1
312,-2.052604122592552,1
313,-1.4336237643493692,1
314,-0.25354542721604845,1
315,-1.3726382858604587,1
316,-2.995025747507528,1
317,-2.4878066872832267,1
318,-2.0505288794505376,1
319,-3.4650464038357716,1
320,-3.2176303310712253,1
321,-2.309343588647333,1
322,-2.949551807187521,1
323,-2.5002512773540744,1
324,-1.845282149838066,1
325,-3.271676052058945,1
326,-2.622690304369045,1
327,-1.1239992770601193,1
328,-1.7239835767073972,1
329,-0.41292111536748544,1
330,0.9603926042936025,1
331,-0.41322883148754397,1
332,0.17085477744348232,1
333,0.6677527358929095,1
334,-1.5947639580003599,1
335,-2.4733726796193514,1
336,-0.4087097745045041,1
337,-0.601442767435073,1
338,-2.9545093285545962,1
339,-1.4047749931663613,1
340,0.6062141467891138,1
341,-1.475768576447721,1
342,-2.2584315010619815,1
343,1.0347249986352036,1
344,-1.4263496635258637,1
345,-3.4064678637594916,1
346,-0.08116419354119486,1
347,0.1531262546231894,1
348,-0.993492036502327,1
349,-0.410949756613624,1
350,-0.11242484043027179,1
351,-2.0641039578366134,1
352,-3.4345322400994207,1
353,-1.7605117523914438,1
354,-2.2393764938252465,1
355,-2.600590097055567,1
356,-0.06174206162583207,1
357,-0.7631793965706185,1
358,-1.7793222285739057,1
359,0.37057230713318146,1
360,0.6660217399025856,1
361,-2.6625922264272672,1
362,-1.9831284815170116,1
363,0.5354193938095663,1
364,-3.3270141640538142,1
365,-5.091091522789155,1
366,-2.562043769186539,1
367,-3.7530237106696003,1
368,-6.36497009313404,1
