t,value,concept
1,1.358047822152493,1
2,0.8961538863680021,1
3,0.6153602833006833,1
4,1.2142080088330849,1
5,0.8145106286525963,1
6,0.9030913829557512,1
7,0.289341865823201,1
8,-0.3442525680354001,1
9,-1.4134377169894685,1
10,-1.7577161439920044,1
11,-2.476766199047966,1
12,-2.897689437518838,1
13,-2.445970040353289,1
14,-1.925914541207949,1
15,-1.9303182273022044,1
16,-1.5546945810435062,1
17,-0.7122776394662407,1
18,-1.2457904508908333,1
19,-1.336824222992109,1
20,-1.1806062654040999,1
21,-1.2150312989262504,1
22,-1.9239768323420168,1
23,-0.05771915812958617,1
24,1.1088699702119396,1
25,-0.41543107559991505,1
26,-0.762244491180734,1
27,-0.1895791723203728,1
28,-0.1054956924274344,1
29,0.33090057190124567,1
30,0.7451681825511968,1
31,-0.20594383854539744,1
32,-0.8870273049595815,1
33,-0.6751116219120876,1
34,-0.884756132846659,1
35,-0.6161725808496634,1
36,-0.3762206430098988,1
37,0.12627290097915705,1
38,0.47768491590622386,1
39,-0.3176263040187345,1
40,-0.5112273374792522,1
41,-0.4666681303878484,1
42,-0.9124825744877239,1
43,-0.09397762445749436,1
44,1.9421064072212282,1
45,2.249015634069823,1
46,1.154802715433256,1
47,0.7435861649031758,1
48,0.7150042001237219,1
49,-0.7824781636265792,1
50,-1.1908873531061392,1
51,0.49656886175208603,1
52,0.8652420431010579,1
53,0.5825868802610769,1
54,0.851189874178195,1
55,0.7304485408916059,1
56,-0.9030243058377417,1
57,-1.3766595572858282,1
58,-0.2530726446228357,1
59,-1.121937765553143,1
60,-2.842396798247867,1
61,-0.7058411812828128,1
62,-0.05752796451602471,1
63,-1.4516544774051572,1
64,-1.6116557056211755,1
65,-1.1886065692778895,1
66,-1.5669481526512117,1
67,-1.8928034617320773,1
68,-1.4372507039672926,1
69,-2.1371728437225186,1
70,-2.966566065687161,1
71,-2.7435470327643263,1
72,-3.312096399009133,1
73,-4.048192755118093,1
74,-3.7100302336921933,1
75,-3.5790616198800524,1
76,-3.406206479587733,1
77,-3.446401973854196,1
78,-2.8950291410615545,1
79,-2.946134926878108,1
80,-3.309187074983196,1
81,-3.831140285861105,1
82,-3.8250972229798337,1
83,-4.735455516815993,1
84,-5.2453260969942805,1
85,-4.112014151448003,1
86,-3.580714263690906,1
87,-4.836642914980658,1
88,-4.869983159973313,1
89,-3.8142222734995457,1
90,-4.983545274689742,1
91,-6.753107468709124,1
92,-5.530257588182765,1
93,-4.902022408480833,1
94,-5.0956408379698095,1
95,-4.35924894253469,1
96,-4.212617193890577,1
97,-4.687099353660308,1
98,-3.579904033354673,1
99,-2.888946394388167,1
100,-4.5796429928468605,1
101,-5.248884458526457,1
102,-4.113407750798332,1
103,-5.736159499167766,1
104,-6.722117757909201,1
105,-5.872596784622786,1
106,-5.97726660241009,1
107,-6.854519856802854,1
108,-5.586578679882305,1
109,-4.358748011297629,1
110,-5.560574623913333,1
111,-4.46826779343041,1
112,-4.348807014657131,1
113,-5.230486876693034,1
114,-5.739962577227137,1
115,-4.531647274672814,1
116,-4.732077177738754,1
117,-4.796383899404813,1
118,-3.31021182855383,1
119,-2.8008010295761085,1
120,-2.7493328571910496,1
121,-2.421028857070643,1
122,-1.9285871506572487,1
123,-2.8377089319777475,1
124,-4.5460185698498865,1
125,-3.9695251120265107,1
126,-3.752776602204162,1
127,-4.690956625500205,1
128,-4.755747949850485,1
129,-5.182635290828054,1
130,-6.073178693880211,1
131,-5.136755197107727,1
132,-3.969783418851319,1
133,-5.0801396655694235,1
134,-5.631801320300273,1
135,-4.944610489092359,1
136,-6.6059548877166065,1
137,-8.93511920667596,1
138,-5.178961746385781,1
139,-3.3945973676701096,1
140,-6.359213941220927,1
141,-5.487015984507705,1
142,-3.296131573159744,1
143,-5.189368375700607,1
144,-6.812153074381713,1
145,-4.590090054981344,1
146,-3.9306356400990436,1
147,-5.697161052048422,1
148,-4.031492020837412,1
149,-1.5438082928339891,1
150,-3.1394981510507334,1
151,-3.4997192643490833,1
152,-1.586642268345412,1
153,-2.503295943615321,1
154,-5.219634817466897,1
155,-4.968349228053831,1
156,-3.6618213014293772,1
157,-5.952975681557206,1
158,-6.184449344968528,1
159,-4.740042962186988,1
160,-6.063833337715767,1
161,-5.924971881868169,1
162,-3.0677842479297532,1
163,-3.7908444361175535,1
164,-5.627718628548446,1
165,-3.751603518311459,1
166,-3.5228247383900295,1
167,-5.261240473727332,1
168,-3.282151113402767,1
169,-1.2706682570905126,1
170,-2.1045960340324807,1
171,-3.351512615285878,1
172,-0.7646778494867033,1
173,-0.5994983922382228,1
174,-3.1835105183673944,1
175,-1.6029144629813703,1
176,-0.4139870013151594,1
177,-1.5121539689569314,1
178,-1.4498080716129556,1
179,-0.4174776756185139,1
180,-1.100953592690567,1
181,-1.3848182686723525,1
182,0.3592368957716902,1
183,0.4659483038938529,1
184,-0.4824488768032567,1
185,0.932741452809009,1
186,2.566230578171629,1
187,1.1303963918649427,1
188,-0.28777206642696973,1
189,1.0383931413963579,1
190,2.4885894328795297,1
191,0.7266513672671714,1
192,-0.5166018361764924,1
193,0.8899556969671863,1
194,-0.3831817002398543,1
195,-3.130551282064153,1
196,-0.2565712022598581,1
197,0.6125806253981921,1
198,-1.2098273429343895,1
199,-0.40018741594856627,1
200,0.8101682368318008,1
201,-2.039034853343844,1
202,-2.834763980619062,1
203,-1.0027892497668094,1
204,-2.238045656126765,1
