t,value,concept
1,0.09036825517733767,1
2,0.6251619785674941,1
3,0.6746962587373362,1
4,-0.6031221221619274,1
5,-0.7325127410045145,1
6,-0.8395501717615182,1
7,0.6757361087367868,1
8,-0.25053750756615606,1
9,-1.0535820463286347,1
10,-1.2151911351227045,1
11,-1.5477421085336047,1
12,-0.8594281271301621,1
13,-1.1138131483662188,1
14,-1.4168190520986683,1
15,-1.034518245068702,1
16,-0.04343243000059949,1
17,-0.7869429701512878,1
18,-0.4392008980351669,1
19,-0.695557792487073,1
20,-1.74390418150359,1
21,-1.2336432267594344,1
22,-1.5096862954802803,1
23,-1.886681613224185,1
24,-2.311236739569661,1
25,-1.8887180155348724,1
26,-0.8976298110202918,1
27,-2.458201357448838,1
28,-2.0488797127621092,1
29,-2.7460577427962622,1
30,-2.8389152923696424,1
31,-3.3076761061773126,1
32,-3.6566558093470536,1
33,-2.511895643082997,1
34,-3.2695043571601303,1
35,-3.4381487627744547,1
36,-3.628809806681403,1
37,-1.7429893144655328,1
38,-2.535166963231079,1
39,-1.8904508296315403,1
40,-2.9422128634939737,1
41,-2.817802183099521,1
42,-3.1513733698189244,1
43,-3.4247555684264075,1
44,-3.516038099390213,1
45,-3.930485911324147,1
46,-3.601929250355037,1
47,-2.8734736682271618,1
48,-2.6714185307186957,1
49,-3.35907538227404,1
50,-1.2835203693406587,1
51,-1.262131149963882,1
52,-0.6117213258127853,1
53,-1.719257856562189,1
54,0.12593669121570117,1
55,0.2725468479430452,1
56,-0.2650506800733264,1
57,-0.1524285814514339,1
58,-0.4957658914848544,1
59,-0.448563499532165,1
60,1.2286983783310548,1
61,1.1337088880953177,1
62,-0.043683486244681546,1
63,2.2512629200197996,1
64,0.5032456147574185,1
65,1.325990272778975,1
66,2.178475235155884,1
67,2.04173852739811,1
68,2.4749993462998194,1
69,2.7577849131238565,1
70,3.5865979491869906,1
71,3.3207002450486707,1
72,3.760819856891347,1
73,4.0619341673101825,1
74,4.115827148097844,1
75,4.492751640859858,1
76,4.973311767488927,1
77,4.143399309274736,1
78,4.777608197312786,1
79,4.804863819500051,1
80,5.37538290057828,1
81,4.883041867330085,1
82,4.638914904050538,1
83,4.285748437162024,1
84,3.5063933602012094,1
85,4.319189816426393,1
86,4.066345081844659,1
87,3.7205831457863314,1
88,4.747999102224999,1
89,4.477361401391246,1
90,4.634773146055538,1
91,5.952975554031196,1
92,5.405635862648855,1
93,5.905080255106188,1
94,5.533450359070604,1
95,5.402649614344452,1
96,5.413397560482398,1
97,5.790617067067002,1
98,4.532043691436408,1
99,5.9337341180815795,1
100,4.6130274862945155,1
101,4.8010288044196265,1
102,5.4910884528700095,1
103,4.540270368490683,1
104,3.498010577999814,1
105,3.744337188880793,1
106,3.163304923447895,1
107,2.9779600989282855,1
108,2.9270356222372436,1
