t,value,concept
1,-0.7787496263773206,1
2,-0.01796473065228893,1
3,-0.33296030570005936,1
4,-0.5187167633707297,1
5,-0.35741121804148523,1
6,-0.9210008393200401,1
7,-0.7377874087505543,1
8,-1.1681327083853752,1
9,-1.5007626511478087,1
10,-1.6815014564780704,1
11,-1.1979663426693754,1
12,-2.1222461602939497,1
13,-0.21827990467454783,1
14,-0.9212608052086192,1
15,0.5942207134464135,1
16,0.6478502280031759,1
17,-0.018121392756469623,1
18,0.714547300300593,1
19,-0.8292119086112364,1
20,0.9086664082561997,1
21,-0.1965803153707338,1
22,-0.9589713852286812,1
23,-2.0168628765617713,1
24,-2.131832123866941,1
25,-1.5881911276821175,1
26,-1.6288018749396638,1
27,-1.9846211394404694,1
28,-2.59593385657542,1
29,-2.0932699872868326,1
30,-4.393530133833515,1
31,-3.410600737784991,1
32,-4.779763717434216,1
33,-4.554523638439999,1
34,-4.364336959489032,1
35,-4.063331602497446,1
36,-5.11067763895398,1
37,-5.41438876418104,1
38,-4.992391288760088,1
39,-5.378804247342904,1
40,-5.9516912430399245,1
41,-5.152808740842799,1
42,-4.703853714166421,1
43,-6.061091223069459,1
44,-5.186482480753889,1
45,-6.557908255820235,1
46,-5.4675279150921305,1
47,-6.519609929471304,1
48,-5.8138387418670545,1
49,-6.43832900601052,1
50,-5.662132715468682,1
51,-6.614384263865151,1
52,-4.8481299288402075,1
53,-7.252701497113087,1
54,-6.05911081099217,1
55,-6.430883339062973,1
56,-5.584721011807811,1
57,-5.373153551692525,1
58,-5.8321178849797,1
59,-5.221655242241094,1
60,-6.282469804540249,1
61,-6.344208485359319,1
62,-6.699912712694638,1
63,-7.825715979630642,1
64,-8.225645174087065,1
65,-7.896735548472427,1
66,-9.80546079380837,1
67,-9.980470322502237,1
68,-9.651539370922118,1
69,-10.214735446022223,1
70,-9.88402437783444,1
71,-9.77635399505363,1
72,-9.631036541805173,1
73,-9.804852698648372,1
74,-8.942398618529388,1
75,-8.780728793085522,1
76,-9.24602355909316,1
77,-9.245005550396781,1
78,-8.497247757590625,1
79,-9.206659903083896,1
80,-8.719402444307994,1
81,-10.839592164696732,1
82,-10.978003829785079,1
83,-10.910214433378993,1
84,-9.659911522851719,1
85,-10.018413762960433,1
86,-10.271996852648,1
87,-10.570161665848406,1
88,-10.402673872469093,1
89,-9.92894163934726,1
90,-8.47697661570163,1
91,-9.23922574041373,1
92,-8.592034705135307,1
93,-9.39746603591374,1
94,-8.960099854065826,1
95,-9.31681889450802,1
96,-9.500840002255282,1
97,-8.94819463014256,1
98,-9.07332629466728,1
99,-9.41970163563639,1
100,-10.070228874987984,1
101,-10.23356697535118,1
102,-9.397168182576488,1
