t,value,concept
1,1.0614669977050986,1
2,0.7588168170210724,1
3,-0.044988519156763496,1
4,-1.691814603572161,1
5,-0.5365671439392068,1
6,-1.6031971502773052,1
7,0.3600607794142087,1
8,0.964925896544246,1
9,0.1371699071353731,1
10,2.1859657854420926,1
11,4.450707225721042,1
12,1.7516184836590345,1
13,1.9414435614680663,1
14,3.719722131540754,1
15,2.881065311065871,1
16,2.725774523462721,1
17,3.5912733223793336,1
18,3.309178707457938,1
19,2.3844152511296643,1
20,4.179418277120304,1
21,4.048041124482752,1
22,1.7824914232757818,1
23,4.643920195986642,1
24,4.120047773758149,1
25,1.2537453018199498,1
26,3.361925602868635,1
27,3.461675705747316,1
28,1.7473457157702776,1
29,3.2135486113641,1
30,4.352269212944554,1
31,1.608361159709042,1
32,1.9258192734568458,1
33,3.6355095725623388,1
34,1.2900550964819928,1
35,0.5222952867756024,1
36,1.354176271808004,1
37,-0.2008188270260951,1
38,-0.9441495548264384,1
39,-0.4764482901855961,1
40,-0.6803047341241116,1
41,-0.6856457172848127,1
42,0.2560624078653776,1
43,-1.0552973191078028,1
44,0.4354725752546968,1
45,0.942894163699391,1
46,-1.2840956773078696,1
47,-0.9817043766728223,1
48,-0.6222937348322648,1
49,0.42292624964132286,1
50,-1.009807945239158,1
51,0.7737978654163444,1
52,1.2503347285757627,1
53,0.2015818256519809,1
54,1.2973095015071707,1
55,1.5258088535517134,1
56,-0.20317177560094335,1
57,0.0313772005466116,1
58,3.4113610600213007,1
59,1.9777816781884159,1
60,1.1476573184072985,1
61,3.01126274890063,1
62,2.75849518531496,1
63,2.787258576249685,1
64,3.5600055169368376,1
65,4.015798027545903,1
66,3.683749506670599,1
67,4.281789918519123,1
68,2.534048143675255,1
69,2.2142522173360533,1
70,3.0839570835845347,1
71,2.6047548780109295,1
72,1.8262406872408843,1
73,1.7813090979524209,1
74,1.8863500339874257,1
75,1.1055423574011793,1
76,1.4837032240532506,1
77,1.7316962296665552,1
78,0.43373159585568866,1
79,0.4109190308559517,1
80,1.4443803554788004,1
81,1.5105623980405491,1
82,0.032612994182650734,1
83,0.7051443263517274,1
84,0.9184426772147898,1
85,-0.3434145423776966,1
86,-0.14220730282841712,1
87,0.6221937519800012,1
88,1.9378084199499863,1
89,1.9888425821964824,1
90,2.946674874687385,1
91,3.2389430730460353,1
92,3.0637399207887275,1
93,3.4117042328787144,1
94,4.31237560312961,1
95,3.958553226429443,1
96,3.8282713983948375,1
97,4.410695929770664,1
98,4.496729102940265,1
99,3.9478219550026905,1
100,4.8987297946835024,1
101,4.378206099625802,1
102,4.116055860555718,1
103,5.07552848696948,1
104,5.785351587873629,1
105,5.28141790334414,1
106,5.113029782957623,1
107,5.300463117352731,1
108,5.631761664134945,1
109,4.830201409810783,1
110,3.839651991910477,1
111,4.94913554827115,1
112,4.400886567552469,1
113,4.84375334985086,1
114,6.130227968037934,1
115,5.307836408310193,1
116,4.292723308599118,1
117,6.223325522840148,1
118,5.494518938492405,1
119,4.370926811138789,1
120,6.753840963475553,1
121,5.623262281749716,1
122,4.019159757440937,1
123,5.835335479726453,1
124,5.030275925806245,1
125,3.113455861125304,1
126,3.920737169292974,1
127,4.01326767238837,1
128,2.2310984130165923,1
129,3.515616000311967,1
130,4.1414482501395256,1
131,3.137734906189883,1
132,2.9095513841123664,1
133,3.7680561377575796,1
134,2.0824448832397375,1
135,2.3698718059191144,1
136,2.6437724506517375,1
137,1.6468080402352148,1
138,2.2936594976619338,1
139,3.2252428852347874,1
140,3.2877949976076675,1
141,3.1493141972255305,1
142,4.910277857505214,1
143,4.303133864369423,1
144,2.6386253886377036,1
145,2.8849527024718213,1
146,2.807205617885364,1
147,1.5636852267953725,1
148,0.6757126546528331,1
149,0.47626929870317924,1
150,0.41947924232782596,1
151,0.9704846297047036,1
152,0.7697847182466471,1
153,-1.5388730047411858,1
154,0.5167021305566452,1
155,0.6600290002019354,1
156,-0.2758965342411227,1
157,-1.124329177821114,1
158,-0.781465874283493,1
159,-0.2427351784979455,1
160,0.34691914115149114,1
161,0.981367297969495,1
162,1.9802718042322036,1
163,1.6560385314781674,1
164,1.7865058706340133,1
165,1.0081697967775503,1
166,1.8480453898143185,1
167,2.2114711365508626,1
168,1.0187135837517647,1
169,2.4456805081342745,1
170,3.5792783546238454,1
171,2.2096075634012307,1
172,2.689840599533312,1
173,5.09934608049054,1
174,5.078795264658989,1
175,4.891607528708792,1
176,6.443503459185195,1
177,6.943169837801574,1
178,6.548307173855112,1
179,7.5530402363074485,1
180,7.667055884671237,1
181,7.773715451685588,1
182,8.671971567211918,1
183,8.012212521372753,1
184,8.068388431096102,1
185,9.327228160193878,1
