t,value,concept
1,1.0035100328071018,1
2,0.0012993467441895223,1
3,-37.54872860859812,1
4,20.083911219340184,1
5,-25.17599464557946,1
6,29.06903271144203,1
7,-28.174787423377897,1
8,36.43457448480414,1
9,-33.329274713212584,1
10,46.63344793098344,1
11,-41.77853885454463,1
12,57.76123584330081,1
13,-52.87496506772617,1
14,72.73389628010266,1
15,-67.04845489446319,1
16,92.59585102049584,1
17,-83.37637924422589,1
18,115.11714659983353,1
19,-106.74677596969477,1
20,144.83698362088523,1
21,-133.15370206355988,1
22,181.42211880625212,1
23,-165.2495861221421,1
24,227.9001354946688,1
25,-208.9734347271103,1
26,286.1924319809758,1
27,-263.54457696035496,1
28,360.32334461616836,1
29,-331.05409157132055,1
30,453.797838022183,1
31,-416.8875643108185,1
32,571.7467188917326,1
33,-524.6906706856195,1
34,719.158030979537,1
35,-661.8123035468383,1
36,905.9502114107205,1
37,-831.4112126458026,1
38,1140.0483863530767,1
39,-1046.8577731909988,1
40,1434.9754008633213,1
41,-1318.227618670009,1
42,1807.6050733536104,1
43,-1660.52854445454,1
44,2276.406489697254,1
45,-2091.6066736057332,1
46,2866.9401453354935,1
47,-2632.5503640055204,1
48,3609.8042285197025,1
49,-3316.5007512404704,1
50,4546.9102435111145,1
51,-4178.213482193209,1
52,5728.1403245503925,1
53,-5263.472967653035,1
54,7213.678603738557,1
55,-6629.78135707566,1
56,9085.686594583756,1
57,-8349.807408972174,1
58,11443.731355327442,1
59,-10513.949461431603,1
60,14411.776715210835,1
61,-13242.754741112545,1
62,18151.25931313664,1
63,-16677.972220003707,1
64,22859.193091336296,1
65,-21004.354550647153,1
66,28789.28912040307,1
67,-26454.137758523375,1
68,36258.4578958267,1
69,-33316.56637026295,1
70,45666.07949727652,1
71,-41962.618520541335,1
72,57514.26477816274,1
73,-52850.01863712594,1
74,72436.69193894534,1
75,-66559.68707889736,1
76,91228.21434268482,1
77,-83828.78472433887,1
78,114895.70277125249,1
79,-105576.13769454075,1
80,144704.24589464275,1
81,-132965.94587942693,1
82,182245.30044322676,1
83,-167460.96685716513,1
84,229526.18973173582,1
85,-210906.4361665644,1
86,289073.5270077833,1
87,-265623.5834048728,1
88,364070.83113657054,1
89,-334536.35157585994,1
90,458523.5931533248,1
91,-421326.9290541161,1
92,577485.0555302635,1
93,-530637.9369002872,1
94,727305.953782686,1
95,-668307.0009682634,1
96,915996.590153863,1
97,-841688.7652958758,1
98,1000000.0,1
99,-952507.3025745034,1
100,1000000.0,1
101,-985752.8792704465,1
102,1000000.0,1
103,-995725.2211189768,1
104,1000000.0,1
105,-998717.0238468293,1
106,1000000.0,1
107,-999615.0051216548,1
108,1000000.0,1
109,-999885.2790126153,1
110,1000000.0,1
111,-999965.6258510443,1
112,1000000.0,1
113,-999989.8417780711,1
114,1000000.0,1
115,-999995.4606578692,1
116,1000000.0,1
117,-999998.909334754,1
118,1000000.0,1
119,-999999.4138107967,1
120,1000000.0,1
121,-999999.4336991624,1
122,1000000.0,1
123,-999999.5434897562,1
124,1000000.0,1
125,-1000000.0,1
126,1000000.0,1
127,-1000000.0,1
128,1000000.0,1
129,-999999.9653693042,1
130,1000000.0,1
131,-999999.6833813168,1
132,1000000.0,1
133,-999999.0477129436,1
134,1000000.0,1
135,-1000000.0,1
136,1000000.0,1
137,-1000000.0,1
138,1000000.0,1
139,-999999.8342315184,1
140,1000000.0,1
141,-1000000.0,1
142,1000000.0,1
143,-999999.3449647372,1
144,1000000.0,1
145,-999999.7738373189,1
146,1000000.0,1
147,-1000000.0,1
148,1000000.0,1
149,-1000000.0,1
150,1000000.0,1
151,-1000000.0,1
152,1000000.0,1
153,-1000000.0,1
154,1000000.0,1
155,-1000000.0,1
156,1000000.0,1
157,-1000000.0,1
158,1000000.0,1
159,-999999.1124515103,1
160,1000000.0,1
161,-999998.6558064686,1
162,1000000.0,1
163,-1000000.0,1
164,1000000.0,1
165,-999998.9431173757,1
166,1000000.0,1
167,-1000000.0,1
168,1000000.0,1
