file,method,true_drift,detected,delay,type
linear_linear1_ar4_abrupt_01.csv,Chronos-Bolt Base + error detector,3000.0,3112.0,112.0,TP
linear_linear1_ar4_abrupt_01.csv,Chronos-Bolt Base + error detector,6000.0,6088.0,88.0,TP
linear_linear1_ar4_abrupt_01.csv,Chronos-Bolt Base + error detector,9000.0,,,FN
linear_linear1_ar4_abrupt_01.csv,Chronos-Bolt Base + error detector,,2296.0,,FP
linear_linear1_ar4_abrupt_01.csv,Chronos-Bolt Base + error detector,,4240.0,,FP
linear_linear1_ar4_abrupt_01.csv,Chronos-Bolt Base + error detector,,6448.0,,FP
linear_linear1_ar4_abrupt_01.csv,Chronos-Bolt Base + error detector,,7504.0,,FP
linear_linear1_ar4_abrupt_01.csv,Chronos-Bolt Base + error detector,,8584.0,,FP
linear_linear1_ar4_abrupt_01.csv,Chronos-Bolt Base + error detector,,10576.0,,FP
linear_linear1_ar4_abrupt_02.csv,Chronos-Bolt Base + error detector,3000.0,,,FN
linear_linear1_ar4_abrupt_02.csv,Chronos-Bolt Base + error detector,6000.0,6064.0,64.0,TP
linear_linear1_ar4_abrupt_02.csv,Chronos-Bolt Base + error detector,9000.0,10120.0,1120.0,TP
linear_linear1_ar4_abrupt_02.csv,Chronos-Bolt Base + error detector,,1768.0,,FP
linear_linear1_ar4_abrupt_02.csv,Chronos-Bolt Base + error detector,,2536.0,,FP
linear_linear1_ar4_abrupt_02.csv,Chronos-Bolt Base + error detector,,2920.0,,FP
linear_linear1_ar4_abrupt_02.csv,Chronos-Bolt Base + error detector,,4696.0,,FP
linear_linear1_ar4_abrupt_02.csv,Chronos-Bolt Base + error detector,,4984.0,,FP
linear_linear1_ar4_abrupt_02.csv,Chronos-Bolt Base + error detector,,6376.0,,FP
linear_linear1_ar4_abrupt_02.csv,Chronos-Bolt Base + error detector,,6736.0,,FP
linear_linear1_ar4_abrupt_02.csv,Chronos-Bolt Base + error detector,,6976.0,,FP
linear_linear1_ar4_abrupt_02.csv,Chronos-Bolt Base + error detector,,11080.0,,FP
linear_linear1_ar4_abrupt_02.csv,Chronos-Bolt Base + error detector,,11992.0,,FP
linear_linear1_ar4_abrupt_03.csv,Chronos-Bolt Base + error detector,3000.0,3952.0,952.0,TP
linear_linear1_ar4_abrupt_03.csv,Chronos-Bolt Base + error detector,6000.0,6040.0,40.0,TP
linear_linear1_ar4_abrupt_03.csv,Chronos-Bolt Base + error detector,9000.0,9352.0,352.0,TP
linear_linear1_ar4_abrupt_03.csv,Chronos-Bolt Base + error detector,,2488.0,,FP
linear_linear1_ar4_abrupt_03.csv,Chronos-Bolt Base + error detector,,6760.0,,FP
linear_linear1_ar4_abrupt_03.csv,Chronos-Bolt Base + error detector,,7240.0,,FP
linear_linear1_ar4_abrupt_03.csv,Chronos-Bolt Base + error detector,,7648.0,,FP
linear_linear1_ar4_abrupt_03.csv,Chronos-Bolt Base + error detector,,7936.0,,FP
linear_linear1_ar4_abrupt_03.csv,Chronos-Bolt Base + error detector,,10192.0,,FP
linear_linear1_ar4_abrupt_03.csv,Chronos-Bolt Base + error detector,,11200.0,,FP
linear_linear1_ar4_abrupt_04.csv,Chronos-Bolt Base + error detector,3000.0,3112.0,112.0,TP
linear_linear1_ar4_abrupt_04.csv,Chronos-Bolt Base + error detector,6000.0,6064.0,64.0,TP
linear_linear1_ar4_abrupt_04.csv,Chronos-Bolt Base + error detector,9000.0,9304.0,304.0,TP
linear_linear1_ar4_abrupt_04.csv,Chronos-Bolt Base + error detector,,2704.0,,FP
linear_linear1_ar4_abrupt_04.csv,Chronos-Bolt Base + error detector,,3400.0,,FP
linear_linear1_ar4_abrupt_04.csv,Chronos-Bolt Base + error detector,,4936.0,,FP
linear_linear1_ar4_abrupt_04.csv,Chronos-Bolt Base + error detector,,6568.0,,FP
linear_linear1_ar4_abrupt_04.csv,Chronos-Bolt Base + error detector,,7192.0,,FP
linear_linear1_ar4_abrupt_04.csv,Chronos-Bolt Base + error detector,,7672.0,,FP
linear_linear1_ar4_abrupt_04.csv,Chronos-Bolt Base + error detector,,7984.0,,FP
linear_linear1_ar4_abrupt_04.csv,Chronos-Bolt Base + error detector,,8464.0,,FP
linear_linear1_ar4_abrupt_04.csv,Chronos-Bolt Base + error detector,,8704.0,,FP
linear_linear1_ar4_abrupt_04.csv,Chronos-Bolt Base + error detector,,11464.0,,FP
linear_linear1_ar4_abrupt_05.csv,Chronos-Bolt Base + error detector,3000.0,,,FN
linear_linear1_ar4_abrupt_05.csv,Chronos-Bolt Base + error detector,6000.0,6040.0,40.0,TP
linear_linear1_ar4_abrupt_05.csv,Chronos-Bolt Base + error detector,9000.0,,,FN
linear_linear1_ar4_abrupt_05.csv,Chronos-Bolt Base + error detector,,2752.0,,FP
linear_linear1_ar4_abrupt_05.csv,Chronos-Bolt Base + error detector,,5560.0,,FP
linear_linear1_ar4_abrupt_05.csv,Chronos-Bolt Base + error detector,,5800.0,,FP
linear_linear1_ar4_abrupt_05.csv,Chronos-Bolt Base + error detector,,7504.0,,FP
