file,method,erro_pre_drift,recovery_time
linear_linear1_ar4_abrupt_01.csv,Chronos-Bolt Base,4.040451961989284,16.0
linear_linear1_ar4_abrupt_01.csv,FEDD+ELM,112.29044526052357,232.0
linear_linear1_ar4_abrupt_02.csv,Chronos-Bolt Base,3.692147401272579,16.0
linear_linear1_ar4_abrupt_02.csv,FEDD+ELM,42.09674203537247,40.0
linear_linear1_ar4_abrupt_03.csv,Chronos-Bolt Base,4.139042389157088,88.0
linear_linear1_ar4_abrupt_03.csv,FEDD+ELM,30.43870111351995,16.0
linear_linear1_ar4_abrupt_04.csv,Chronos-Bolt Base,3.9978539390809402,16.0
linear_linear1_ar4_abrupt_04.csv,FEDD+ELM,62.56934366890526,880.0
linear_linear1_ar4_abrupt_05.csv,Chronos-Bolt Base,3.915852605429354,40.0
linear_linear1_ar4_abrupt_05.csv,FEDD+ELM,88.25376765430453,544.0
linear_linear1_ar4_abrupt_06.csv,Chronos-Bolt Base,4.03670764622362,88.0
linear_linear1_ar4_abrupt_06.csv,FEDD+ELM,6.367783186524768,88.0
linear_linear1_ar4_abrupt_07.csv,Chronos-Bolt Base,3.625086033050032,40.0
linear_linear1_ar4_abrupt_07.csv,FEDD+ELM,6.223013563741937,2848.0
linear_linear1_ar4_abrupt_08.csv,Chronos-Bolt Base,3.9185415523817215,16.0
linear_linear1_ar4_abrupt_08.csv,FEDD+ELM,60.46171604456348,160.0
linear_linear1_ar4_abrupt_09.csv,Chronos-Bolt Base,3.9897286843938295,16.0
linear_linear1_ar4_abrupt_09.csv,FEDD+ELM,49.52431417312044,16.0
linear_linear1_ar4_abrupt_10.csv,Chronos-Bolt Base,3.9452967134010817,256.0
linear_linear1_ar4_abrupt_10.csv,FEDD+ELM,52.901116191228915,16.0
linear_linear1_ar4_abrupt_11.csv,Chronos-Bolt Base,3.755644478495729,40.0
linear_linear1_ar4_abrupt_11.csv,FEDD+ELM,7.41575039795573,136.0
linear_linear1_ar4_abrupt_12.csv,Chronos-Bolt Base,3.8469693440854553,112.0
linear_linear1_ar4_abrupt_12.csv,FEDD+ELM,109.11825568058408,16.0
linear_linear1_ar4_abrupt_13.csv,Chronos-Bolt Base,4.035027900824228,16.0
linear_linear1_ar4_abrupt_13.csv,FEDD+ELM,4.830107168067415,160.0
linear_linear1_ar4_abrupt_14.csv,Chronos-Bolt Base,3.6895594122048982,16.0
linear_linear1_ar4_abrupt_14.csv,FEDD+ELM,40.49742094289276,16.0
linear_linear1_ar4_abrupt_15.csv,Chronos-Bolt Base,4.076678854332753,256.0
linear_linear1_ar4_abrupt_15.csv,FEDD+ELM,26.01674852753188,64.0
linear_linear1_ar4_abrupt_16.csv,Chronos-Bolt Base,3.6877432301875515,256.0
linear_linear1_ar4_abrupt_16.csv,FEDD+ELM,7.514466079523942,40.0
linear_linear1_ar4_abrupt_17.csv,Chronos-Bolt Base,3.9125900287172253,16.0
linear_linear1_ar4_abrupt_17.csv,FEDD+ELM,6.811672486508516,16.0
linear_linear1_ar4_abrupt_18.csv,Chronos-Bolt Base,3.7605141134885014,136.0
linear_linear1_ar4_abrupt_18.csv,FEDD+ELM,37.88818883872106,16.0
linear_linear1_ar4_abrupt_19.csv,Chronos-Bolt Base,3.6256190288068457,160.0
linear_linear1_ar4_abrupt_19.csv,FEDD+ELM,15.667910638668626,16.0
linear_linear1_ar4_abrupt_20.csv,Chronos-Bolt Base,3.727757328745904,16.0
linear_linear1_ar4_abrupt_20.csv,FEDD+ELM,12.718443398811825,952.0
linear_linear1_ar4_gradual_01.csv,Chronos-Bolt Base,3.8899354560818757,16.0
linear_linear1_ar4_gradual_01.csv,FEDD+ELM,42.904015119256556,16.0
linear_linear1_ar4_gradual_02.csv,Chronos-Bolt Base,3.92327096077278,16.0
linear_linear1_ar4_gradual_02.csv,FEDD+ELM,47.67716098147995,208.0
linear_linear1_ar4_gradual_03.csv,Chronos-Bolt Base,3.777078311107435,64.0
linear_linear1_ar4_gradual_03.csv,FEDD+ELM,6.469386432547949,16.0
linear_linear1_ar4_gradual_04.csv,Chronos-Bolt Base,3.944953000844162,40.0
linear_linear1_ar4_gradual_04.csv,FEDD+ELM,29.273153837112154,232.0
linear_linear1_ar4_gradual_05.csv,Chronos-Bolt Base,3.574180052794248,16.0
linear_linear1_ar4_gradual_05.csv,FEDD+ELM,27.81231480500756,16.0
linear_linear1_ar4_gradual_06.csv,Chronos-Bolt Base,3.7969048736107673,16.0
linear_linear1_ar4_gradual_06.csv,FEDD+ELM,6.597954024232412,40.0
linear_linear1_ar4_gradual_07.csv,Chronos-Bolt Base,3.7230709574970473,40.0
linear_linear1_ar4_gradual_07.csv,FEDD+ELM,45.82897125760869,16.0
linear_linear1_ar4_gradual_08.csv,Chronos-Bolt Base,3.643735585445494,16.0
linear_linear1_ar4_gradual_08.csv,FEDD+ELM,52.152016677475416,232.0
linear_linear1_ar4_gradual_09.csv,Chronos-Bolt Base,3.9487646006919825,16.0
linear_linear1_ar4_gradual_09.csv,FEDD+ELM,17.01527554310666,16.0
linear_linear1_ar4_gradual_10.csv,Chronos-Bolt Base,3.610413260461609,40.0
